?overall-first-second-last
188,185,245,618
0,0,0,0
0,0,0,0
0,0,0,0
?plays
r,64,54,79,197
p,48,71,73,192
s,85,66,105,256
rr,25,19,25,69
rp,14,20,26,60
rs,36,21,28,85
pr,18,12,24,54
pp,15,33,28,76
ps,27,27,23,77
sr,26,30,34,90
sp,26,25,17,68
ss,27,24,61,112
rrr,9,4,7,20
rrp,2,9,4,15
rrs,7,5,10,22
rpr,3,1,6,10
rpp,4,6,6,16
rps,9,7,7,23
rsr,7,10,14,31
rsp,5,6,5,16
rss,8,3,14,25
prr,4,4,6,14
prp,2,2,4,8
prs,9,5,6,20
ppr,2,2,7,11
ppp,2,14,12,28
pps,8,8,8,24
psr,8,8,7,23
psp,9,6,4,19
pss,5,6,7,18
srr,6,7,9,22
srp,6,5,15,26
srs,14,7,9,30
spr,9,5,8,22
spp,5,9,7,21
sps,6,4,3,13
ssr,7,8,8,23
ssp,8,9,3,20
sss,10,11,37,58
?end
?wins
wxx,0,0,0,0
lxx,0,0,0,0
txx,0,0,0,0
wwx,0,0,0,0
wlx,0,0,0,0
wtx,0,0,0,0
lwx,0,0,0,0
llx,0,0,0,0
ltx,0,0,0,0
twx,0,0,0,0
tlx,0,0,0,0
ttx,0,0,0,0
www,0,0,0,0
wwl,0,0,0,0
wwt,0,0,0,0
wlw,0,0,0,0
wll,0,0,0,0
wlt,0,0,0,0
wtw,0,0,0,0
wtl,0,0,0,0
wtt,0,0,0,0
lww,0,0,0,0
lwl,0,0,0,0
lwt,0,0,0,0
llw,0,0,0,0
lll,0,0,0,0
llt,0,0,0,0
ltw,0,0,0,0
ltl,0,0,0,0
ltt,0,0,0,0
tww,0,0,0,0
twl,0,0,0,0
twt,0,0,0,0
tlw,0,0,0,0
tll,0,0,0,0
tlt,0,0,0,0
ttw,0,0,0,0
ttl,0,0,0,0
ttt,0,0,0,0
?end
