PERIMETER,AREA,LENGTH,HEIGHT,OUTPUT
865,18470,167,147,ROCK
849,19249,168,157,ROCK
896,20666,176,156,ROCK
952,22528,182,159,ROCK
940,23328,184,161,ROCK
946,23583,186,160,ROCK
837,23054,184,152,ROCK
799,21523,179,145,ROCK
784,21524,178,146,ROCK
890,21431,176,150,ROCK
873,21466,176,154,ROCK
917,21619,177,156,ROCK
902,21438,176,158,ROCK
908,21379,176,159,ROCK
864,21426,176,161,ROCK
866,21171,174,163,ROCK
848,20883,173,160,ROCK
864,20618,172,157,ROCK
862,20467,172,156,ROCK
868,20364,172,155,ROCK
867,20024,169,155,ROCK
853,19914,169,154,ROCK
843,19758,168,152,ROCK
855,19486,167,150,ROCK
823,19348,167,149,ROCK
837,19467,167,151,ROCK
831,19507,167,152,ROCK
833,19361,166,152,ROCK
848,19292,167,151,ROCK
853,19449,167,152,ROCK
829,19644,168,152,ROCK
852,19782,170,152,ROCK
834,19523,167,152,ROCK
830,19425,167,152,ROCK
854,19502,167,153,ROCK
825,19704,168,154,ROCK
842,19564,167,152,ROCK
836,19595,168,152,ROCK
829,19109,166,153,ROCK
771,17519,157,150,ROCK
791,16493,154,146,ROCK
763,15390,150,140,ROCK
741,14896,146,140,ROCK
781,14591,145,141,ROCK
711,13469,138,140,ROCK
650,12436,132,138,ROCK
647,12569,133,138,ROCK
628,11853,128,139,ROCK
620,11289,125,133,ROCK
628,11490,127,132,ROCK
615,11288,125,136,ROCK
646,11910,128,138,ROCK
665,12919,134,142,ROCK
678,13226,137,140,ROCK
741,13646,139,142,ROCK
764,14359,143,141,ROCK
749,15000,147,141,ROCK
811,15648,151,143,ROCK
758,15870,151,145,ROCK
752,11344,165,110,PAPER
748,11279,165,110,PAPER
758,11524,167,110,PAPER
762,11766,168,110,PAPER
761,12113,171,106,PAPER
792,12878,178,111,PAPER
787,13315,180,107,PAPER
817,13328,181,110,PAPER
810,13094,179,110,PAPER
795,12765,177,110,PAPER
787,12405,174,110,PAPER
789,12458,174,110,PAPER
797,12835,177,110,PAPER
769,13222,180,112,PAPER
787,13779,184,111,PAPER
807,14348,188,113,PAPER
886,15352,195,121,PAPER
907,16210,201,117,PAPER
916,17242,207,128,PAPER
990,18446,215,123,PAPER
1004,19162,219,133,PAPER
1006,19386,221,125,PAPER
1020,19822,223,127,PAPER
1043,20284,227,136,PAPER
1046,20750,229,136,PAPER
1082,21125,230,138,PAPER
1167,21922,236,141,PAPER
1192,23664,247,146,PAPER
1195,24263,251,136,PAPER
1163,24761,252,137,PAPER
1191,25291,253,151,PAPER
1085,24301,237,151,PAPER
1172,26363,254,152,PAPER
1120,25990,246,151,PAPER
1107,25633,239,152,PAPER
1158,27433,254,155,PAPER
1103,26047,238,158,PAPER
1135,27222,246,159,PAPER
1109,26970,240,159,PAPER
1157,28976,254,158,PAPER
1143,29789,260,145,PAPER
1210,30141,264,160,PAPER
1184,30792,267,146,PAPER
1145,31500,271,147,PAPER
1263,32287,273,163,PAPER
1234,32165,267,164,PAPER
1224,33875,276,168,PAPER
956,34495,276,151,PAPER
1112,35333,276,156,PAPER
981,34580,276,168,PAPER
923,34208,276,149,PAPER
932,33965,276,149,PAPER
1126,34038,276,168,PAPER
1281,34009,276,163,PAPER
1209,33384,274,154,PAPER
942,32184,273,147,PAPER
998,32322,273,148,PAPER
1046,32649,274,150,PAPER
1209,33128,275,152,PAPER
1265,33715,276,163,PAPER
1253,33738,276,163,PAPER
1178,34009,276,153,PAPER
1250,34006,276,163,PAPER
1259,33958,276,163,PAPER
1268,33483,276,164,PAPER
1258,32620,271,161,PAPER
1075,31398,263,150,PAPER
1115,30515,257,150,PAPER
1185,29787,253,159,PAPER
1194,30267,256,159,PAPER
1207,30605,262,159,PAPER
1090,29218,260,142,PAPER
1165,27907,256,140,PAPER
1171,27287,255,155,PAPER
1156,26637,252,144,PAPER
1134,25871,250,162,PAPER
1068,23473,230,165,PAPER
1125,24781,245,146,PAPER
935,24377,245,146,PAPER
907,24069,245,168,PAPER
1099,24424,246,147,PAPER
1190,24254,249,144,PAPER
1151,23248,243,139,PAPER
1149,22540,237,153,PAPER
1131,21551,232,150,PAPER
1115,21707,234,135,PAPER
1054,21214,230,148,PAPER
1069,20992,229,134,PAPER
1017,20003,223,130,PAPER
978,19024,216,127,PAPER
967,18457,213,143,PAPER
969,18262,212,149,PAPER
918,18039,208,152,PAPER
919,18307,204,131,PAPER
859,17975,198,131,PAPER
873,18371,201,156,PAPER
883,19008,205,136,PAPER
916,19643,207,163,PAPER
985,21294,219,160,PAPER
1074,22180,232,153,PAPER
1164,22272,238,147,PAPER
1141,22602,238,140,PAPER
1171,22985,241,134,PAPER
1199,23293,246,129,PAPER
988,22377,244,118,PAPER
861,20852,240,110,PAPER
883,21122,236,114,PAPER
1062,20678,228,123,PAPER
1049,20393,225,131,PAPER
1072,20266,224,132,PAPER
1065,19731,220,130,PAPER
1031,19172,216,130,PAPER
929,17543,199,130,PAPER
1027,18264,212,128,PAPER
987,17231,206,129,PAPER
977,16585,204,121,PAPER
956,16155,203,128,PAPER
